year,citationcount,percentile
1868,0,84
1868,0,85
1868,0,86
1868,0,87
1868,0,88
1868,0,89
1868,0,90
1868,0,91
1868,0,92
1868,0,93
1868,0,94
1868,0,95
1868,0,96
1868,0,97
1868,0,98
1868,0,99
1813,2,0
1813,0,1
1813,0,2
1813,0,3
1813,0,4
1813,0,5
1813,0,6
1813,0,7
1813,0,8
1813,0,9
1813,0,10
1813,0,11
1813,0,12
1813,0,13
1813,0,14
1813,0,15
1813,0,16
1813,0,17
1813,0,18
1813,0,19
1813,0,20
1813,0,21
1813,0,22
1813,0,23
1813,0,24
1813,0,25
1813,0,26
1813,0,27
1813,0,28
1813,0,29
1813,0,30
1813,0,31
1813,0,32
1813,0,33
1813,0,34
1813,0,35
1813,0,36
1813,0,37
1813,0,38
1813,0,39
1813,0,40
1813,0,41
1813,0,42
1813,0,43
1813,0,44
1813,0,45
1813,0,46
1813,0,47
1813,0,48
1813,0,49
1813,0,50
1813,0,51
1813,0,52
1813,0,53
1813,0,54
1813,0,55
1813,0,56
1813,0,57
1813,0,58
1813,0,59
1813,0,60
1813,0,61
1813,0,62
1813,0,63
1813,0,64
1813,0,65
1813,0,66
1813,0,67
1813,0,68
1813,0,69
1813,0,70
1813,0,71
1813,0,72
1813,0,73
1813,0,74
1813,0,75
1813,0,76
1813,0,77
1813,0,78
1813,0,79
1813,0,80
1813,0,81
1813,0,82
1813,0,83
1813,0,84
1813,0,85
1813,0,86
1813,0,87
1813,0,88
1813,0,89
1813,0,90
1813,0,91
1813,0,92
1813,0,93
1813,0,94
1813,0,95
1813,0,96
1813,0,97
1813,0,98
1813,0,99
1940,17,0
1940,4,1
1940,2,2
1940,2,3
1940,1,4
1940,1,5
1940,1,6
1940,0,7
1940,0,8
1940,0,9
1940,0,10
1940,0,11
1940,0,12
1940,0,13
1940,0,14
1940,0,15
1940,0,16
1940,0,17
1940,0,18
1940,0,19
1940,0,20
1940,0,21
1940,0,22
1940,0,23
1940,0,24
1940,0,25
1940,0,26
1940,0,27
1940,0,28
1940,0,29
1940,0,30
1940,0,31
1940,0,32
1940,0,33
1940,0,34
1940,0,35
1940,0,36
1940,0,37
1940,0,38
1940,0,39
1940,0,40
1940,0,41
1940,0,42
1940,0,43
1940,0,44
1940,0,45
1940,0,46
1940,0,47
1940,0,48
1940,0,49
1940,0,50
1940,0,51
1940,0,52
1940,0,53
1940,0,54
1940,0,55
1940,0,56
1940,0,57
1940,0,58
1940,0,59
1940,0,60
1940,0,61
1940,0,62
1940,0,63
1940,0,64
1940,0,65
1940,0,66
1940,0,67
1940,0,68
1940,0,69
1940,0,70
1940,0,71
1940,0,72
1940,0,73
1940,0,74
1940,0,75
1940,0,76
1940,0,77
1940,0,78
1940,0,79
1940,0,80
1940,0,81
1940,0,82
1940,0,83
1940,0,84
1940,0,85
1940,0,86
1940,0,87
1940,0,88
1940,0,89
1940,0,90
1940,0,91
1940,0,92
1940,0,93
1940,0,94
1940,0,95
1940,0,96
1940,0,97
1940,0,98
1940,0,99
1837,4,0
1837,1,1
1837,1,2
1837,0,3
1837,0,4
1837,0,5
1837,0,6
1837,0,7
1837,0,8
1837,0,9
1837,0,10
1837,0,11
1837,0,12
1837,0,13
1837,0,14
1837,0,15
1837,0,16
1837,0,17
1837,0,18
1837,0,19
1837,0,20
1837,0,21
1837,0,22
1837,0,23
1837,0,24
1837,0,25
1837,0,26
1837,0,27
1837,0,28
1837,0,29
1837,0,30
1837,0,31
1837,0,32
1837,0,33
1837,0,34
1837,0,35
1837,0,36
1837,0,37
1837,0,38
1837,0,39
1837,0,40
1837,0,41
1837,0,42
1837,0,43
1837,0,44
1837,0,45
1837,0,46
1837,0,47
1837,0,48
1837,0,49
1837,0,50
1837,0,51
1837,0,52
1837,0,53
1837,0,54
1837,0,55
1837,0,56
1837,0,57
1837,0,58
1837,0,59
1837,0,60
1837,0,61
1837,0,62
1837,0,63
1837,0,64
1837,0,65
1837,0,66
1837,0,67
1837,0,68
1837,0,69
1837,0,70
1837,0,71
1837,0,72
1837,0,73
1837,0,74
1837,0,75
1837,0,76
1837,0,77
1837,0,78
1837,0,79
1837,0,80
1837,0,81
1837,0,82
1837,0,83
1837,0,84
1837,0,85
1837,0,86
1837,0,87
1837,0,88
1837,0,89
1837,0,90
1837,0,91
1837,0,92
1837,0,93
1837,0,94
1837,0,95
1837,0,96
1837,0,97
1837,0,98
1837,0,99
1850,25,0
1850,1,1
1850,0,2
1850,0,3
1850,0,4
1850,0,5
1850,0,6
1850,0,7
1850,0,8
1850,0,9
1850,0,10
1850,0,11
1850,0,12
1850,0,13
1850,0,14
1850,0,15
1850,0,16
1850,0,17
1850,0,18
1850,0,19
1850,0,20
1850,0,21
1850,0,22
1850,0,23
1850,0,24
1850,0,25
1850,0,26
1850,0,27
1850,0,28
1850,0,29
1850,0,30
1850,0,31
1850,0,32
1850,0,33
1850,0,34
1850,0,35
1850,0,36
1850,0,37
1850,0,38
1850,0,39
1850,0,40
1850,0,41
1850,0,42
1850,0,43
1850,0,44
1850,0,45
1850,0,46
1850,0,47
1850,0,48
1850,0,49
1850,0,50
1850,0,51
1850,0,52
1850,0,53
1850,0,54
1850,0,55
1850,0,56
1850,0,57
1850,0,58
1850,0,59
1850,0,60
1850,0,61
1850,0,62
1850,0,63
1850,0,64
1850,0,65
1850,0,66
1850,0,67
1850,0,68
1850,0,69
1850,0,70
1850,0,71
1850,0,72
1850,0,73
1850,0,74
1850,0,75
1850,0,76
1850,0,77
1850,0,78
1850,0,79
1850,0,80
1850,0,81
1850,0,82
1850,0,83
1850,0,84
1850,0,85
1850,0,86
1850,0,87
1850,0,88
1850,0,89
1850,0,90
1850,0,91
1850,0,92
1850,0,93
1850,0,94
1850,0,95
1850,0,96
1850,0,97
1850,0,98
1850,0,99
1814,24,0
1814,3,1
1814,1,2
1814,0,3
1814,0,4
1814,0,5
1814,0,6
1814,0,7
1814,0,8
1814,0,9
1814,0,10
1814,0,11
1814,0,12
1814,0,13
1814,0,14
1814,0,15
1814,0,16
1814,0,17
1814,0,18
1814,0,19
1814,0,20
1814,0,21
1814,0,22
1814,0,23
1814,0,24
1814,0,25
1814,0,26
1814,0,27
1814,0,28
1814,0,29
1814,0,30
1814,0,31
1814,0,32
1814,0,33
1814,0,34
1814,0,35
1814,0,36
1814,0,37
1814,0,38
1814,0,39
1814,0,40
1814,0,41
1814,0,42
1814,0,43
1814,0,44
1814,0,45
1814,0,46
1814,0,47
1814,0,48
1814,0,49
1814,0,50
1814,0,51
1814,0,52
1814,0,53
1814,0,54
1814,0,55
1814,0,56
1814,0,57
1814,0,58
1814,0,59
1814,0,60
1814,0,61
1814,0,62
1814,0,63
1814,0,64
1814,0,65
1814,0,66
1814,0,67
1814,0,68
1814,0,69
1814,0,70
1814,0,71
1814,0,72
1814,0,73
1814,0,74
1814,0,75
1814,0,76
1814,0,77
1814,0,78
1814,0,79
1814,0,80
1814,0,81
1814,0,82
1814,0,83
1814,0,84
1814,0,85
1814,0,86
1814,0,87
1814,0,88
1814,0,89
1814,0,90
1814,0,91
1814,0,92
1814,0,93
1814,0,94
1814,0,95
1814,0,96
1814,0,97
1814,0,98
1814,0,99
1826,5,0
1826,1,1
1826,1,2
1826,0,3
1826,0,4
1826,0,5
1826,0,6
1826,0,7
1826,0,8
1826,0,9
1826,0,10
1826,0,11
1826,0,12
1826,0,13
1826,0,14
1826,0,15
1826,0,16
1826,0,17
1826,0,18
1826,0,19
1826,0,20
1826,0,21
1826,0,22
1826,0,23
1826,0,24
1826,0,25
1826,0,26
1826,0,27
1826,0,28
1826,0,29
1826,0,30
1826,0,31
1826,0,32
1826,0,33
1826,0,34
1826,0,35
1826,0,36
1826,0,37
1826,0,38
1826,0,39
1826,0,40
1826,0,41
1826,0,42
1826,0,43
1826,0,44
1826,0,45
1826,0,46
1826,0,47
1826,0,48
1826,0,49
1826,0,50
1826,0,51
1826,0,52
1826,0,53
1826,0,54
1826,0,55
1826,0,56
1826,0,57
1826,0,58
1826,0,59
1826,0,60
1826,0,61
1826,0,62
1826,0,63
1826,0,64
1826,0,65
1826,0,66
1826,0,67
1826,0,68
1826,0,69
1826,0,70
1826,0,71
1826,0,72
1826,0,73
1826,0,74
1826,0,75
1826,0,76
1826,0,77
1826,0,78
1826,0,79
1826,0,80
1826,0,81
1826,0,82
1826,0,83
1826,0,84
1826,0,85
1826,0,86
1826,0,87
1826,0,88
1826,0,89
1826,0,90
1826,0,91
1826,0,92
1826,0,93
1826,0,94
1826,0,95
1826,0,96
1826,0,97
1826,0,98
1826,0,99
1967,3126,0
1967,41,1
1967,26,2
1967,20,3
1967,16,4
1967,13,5
1967,11,6
1967,10,7
1967,9,8
1967,8,9
1967,7,10
1967,6,11
1967,6,12
1967,5,13
1967,5,14
1967,4,15
1967,4,16
1967,4,17
1967,3,18
1967,3,19
1967,3,20
1967,3,21
1967,2,22
1967,2,23
1967,2,24
1967,2,25
1967,2,26
1967,2,27
1967,1,28
1967,1,29
1967,1,30
1967,1,31
1967,1,32
1967,1,33
1967,1,34
1967,1,35
1967,1,36
1967,1,37
1967,1,38
1967,1,39
1967,0,40
1967,0,41
1967,0,42
1967,0,43
1967,0,44
1967,0,45
1967,0,46
1967,0,47
1967,0,48
1967,0,49
1967,0,50
1967,0,51
1967,0,52
1967,0,53
1967,0,54
1967,0,55
1967,0,56
1967,0,57
1967,0,58
1967,0,59
1967,0,60
1967,0,61
1967,0,62
1967,0,63
1967,0,64
1967,0,65
1967,0,66
1967,0,67
1967,0,68
1967,0,69
1967,0,70
1967,0,71
1967,0,72
1967,0,73
1967,0,74
1967,0,75
1967,0,76
1967,0,77
1967,0,78
1967,0,79
1967,0,80
1967,0,81
1967,0,82
1967,0,83
1967,0,84
1967,0,85
1967,0,86
1967,0,87
1967,0,88
1967,0,89
1967,0,90
1967,0,91
1967,0,92
1967,0,93
1967,0,94
1967,0,95
1967,0,96
1967,0,97
1967,0,98
1967,0,99
1989,10290,0
1989,73,1
1989,45,2
1989,34,3
1989,27,4
1989,23,5
1989,20,6
1989,17,7
1989,15,8
1989,14,9
1989,12,10
1989,11,11
1989,10,12
1989,9,13
1989,9,14
1989,8,15
1989,7,16
1989,7,17
1989,6,18
1989,6,19
1989,6,20
1989,5,21
1989,5,22
1989,5,23
1989,4,24
1989,4,25
1989,4,26
1989,3,27
1989,3,28
1989,3,29
1989,3,30
1989,3,31
1989,3,32
1989,2,33
1989,2,34
1989,2,35
1989,2,36
1989,2,37
1989,2,38
1989,2,39
1989,1,40
1989,1,41
1989,1,42
1989,1,43
1989,1,44
1989,1,45
1989,1,46
1989,1,47
1989,1,48
1989,1,49
1989,1,50
1989,1,51
1989,1,52
1989,0,53
1989,0,54
1989,0,55
1989,0,56
1989,0,57
1989,0,58
1989,0,59
1989,0,60
1989,0,61
1989,0,62
1989,0,63
1989,0,64
1989,0,65
1989,0,66
1989,0,67
1989,0,68
1989,0,69
1989,0,70
1989,0,71
1989,0,72
1989,0,73
1989,0,74
1989,0,75
1989,0,76
1989,0,77
1989,0,78
1989,0,79
1989,0,80
1989,0,81
1989,0,82
1989,0,83
1989,0,84
1989,0,85
1989,0,86
1989,0,87
1989,0,88
1989,0,89
1989,0,90
1989,0,91
1989,0,92
1989,0,93
1989,0,94
1989,0,95
1989,0,96
1989,0,97
1989,0,98
1989,0,99
1875,6,0
1875,0,1
1875,0,2
1875,0,3
1875,0,4
1875,0,5
1875,0,6
1875,0,7
1875,0,8
1875,0,9
1875,0,10
1875,0,11
1875,0,12
1875,0,13
1875,0,14
1875,0,15
1875,0,16
1875,0,17
1875,0,18
1875,0,19
1875,0,20
1875,0,21
1875,0,22
1875,0,23
1875,0,24
1875,0,25
1875,0,26
1875,0,27
1875,0,28
1875,0,29
1875,0,30
1875,0,31
1875,0,32
1875,0,33
1875,0,34
1875,0,35
1875,0,36
1875,0,37
1875,0,38
1875,0,39
1875,0,40
1875,0,41
1875,0,42
1875,0,43
1875,0,44
1875,0,45
1875,0,46
1875,0,47
1875,0,48
1875,0,49
1875,0,50
1875,0,51
1875,0,52
1875,0,53
1875,0,54
1875,0,55
1875,0,56
1875,0,57
1875,0,58
1875,0,59
1875,0,60
1875,0,61
1875,0,62
1875,0,63
1875,0,64
1875,0,65
1875,0,66
1875,0,67
1875,0,68
1875,0,69
1875,0,70
1875,0,71
1875,0,72
1875,0,73
1875,0,74
1875,0,75
1875,0,76
1875,0,77
1875,0,78
1875,0,79
1875,0,80
1875,0,81
1875,0,82
1875,0,83
1875,0,84
1875,0,85
1875,0,86
1875,0,87
1875,0,88
1875,0,89
1875,0,90
1875,0,91
1875,0,92
1875,0,93
1875,0,94
1875,0,95
1875,0,96
1875,0,97
1875,0,98
1875,0,99
1910,2,0
1910,0,1
1910,0,2
1910,0,3
1910,0,4
1910,0,5
1910,0,6
1910,0,7
1910,0,8
1910,0,9
1910,0,10
1910,0,11
1910,0,12
1910,0,13
1910,0,14
1910,0,15
1910,0,16
1910,0,17
1910,0,18
1910,0,19
1910,0,20
1910,0,21
1910,0,22
1910,0,23
1910,0,24
1910,0,25
1910,0,26
1910,0,27
1910,0,28
1910,0,29
1910,0,30
1910,0,31
1910,0,32
1910,0,33
1910,0,34
1910,0,35
1910,0,36
1910,0,37
1910,0,38
1910,0,39
1910,0,40
1910,0,41
1910,0,42
1910,0,43
1910,0,44
1910,0,45
1910,0,46
1910,0,47
1910,0,48
1910,0,49
1910,0,50
1910,0,51
1910,0,52
1910,0,53
1910,0,54
1910,0,55
1910,0,56
1910,0,57
1910,0,58
1910,0,59
1910,0,60
1910,0,61
1910,0,62
1910,0,63
1910,0,64
1910,0,65
1910,0,66
1910,0,67
1910,0,68
1910,0,69
1910,0,70
1910,0,71
1910,0,72
1910,0,73
1910,0,74
1910,0,75
1910,0,76
1910,0,77
1910,0,78
1910,0,79
1910,0,80
1910,0,81
1910,0,82
1910,0,83
1910,0,84
1910,0,85
1910,0,86
1910,0,87
1910,0,88
1910,0,89
1910,0,90
1910,0,91
1910,0,92
1910,0,93
1910,0,94
1910,0,95
1910,0,96
1910,0,97
1910,0,98
1910,0,99
1951,11,0
1951,5,1
1951,4,2
1951,3,3
1951,3,4
1951,3,5
1951,3,6
1951,2,7
1951,2,8
1951,2,9
1951,2,10
1951,2,11
1951,1,12
1951,1,13
1951,0,14
1951,0,15
1951,0,16
1951,0,17
1951,0,18
1951,0,19
1951,0,20
1951,0,21
1951,0,22
1951,0,23
1951,0,24
1951,0,25
1951,0,26
1951,0,27
1951,0,28
1951,0,29
1951,0,30
1951,0,31
1951,0,32
1951,0,33
1951,0,34
1951,0,35
1951,0,36
1951,0,37
1951,0,38
1951,0,39
1951,0,40
1951,0,41
1951,0,42
1951,0,43
1951,0,44
1951,0,45
1951,0,46
1951,0,47
1951,0,48
1951,0,49
1951,0,50
1951,0,51
1951,0,52
1951,0,53
1951,0,54
1951,0,55
1951,0,56
1951,0,57
1951,0,58
1951,0,59
1951,0,60
1951,0,61
1951,0,62
1951,0,63
1951,0,64
1951,0,65
1951,0,66
1951,0,67
1951,0,68
1951,0,69
1951,0,70
1951,0,71
1951,0,72
1951,0,73
1951,0,74
1951,0,75
1951,0,76
1951,0,77
1951,0,78
1951,0,79
1951,0,80
1951,0,81
1951,0,82
1951,0,83
1951,0,84
1951,0,85
1951,0,86
1951,0,87
1951,0,88
1951,0,89
1951,0,90
1951,0,91
1951,0,92
1951,0,93
1951,0,94
1951,0,95
1951,0,96
1951,0,97
1951,0,98
1951,0,99
1956,11,0
1956,10,1
1956,10,2
1956,9,3
1956,7,4
1956,5,5
1956,5,6
1956,5,7
1956,4,8
1956,4,9
1956,4,10
1956,3,11
1956,3,12
1956,3,13
1956,3,14
1956,2,15
1956,2,16
1956,2,17
1956,2,18
1956,1,19
1956,1,20
1956,1,21
1956,1,22
1956,1,23
1956,1,24
1956,1,25
1956,1,26
1956,1,27
1956,0,28
1956,0,29
1956,0,30
1956,0,31
1956,0,32
1956,0,33
1956,0,34
1956,0,35
1956,0,36
1956,0,37
1956,0,38
1956,0,39
1956,0,40
1956,0,41
1956,0,42
1956,0,43
1956,0,44
1956,0,45
1956,0,46
1956,0,47
1956,0,48
1956,0,49
1956,0,50
1956,0,51
1956,0,52
1956,0,53
1956,0,54
1956,0,55
1956,0,56
1956,0,57
1956,0,58
1956,0,59
1956,0,60
1956,0,61
1956,0,62
1956,0,63
1956,0,64
1956,0,65
1956,0,66
1956,0,67
1956,0,68
1956,0,69
1956,0,70
1956,0,71
1956,0,72
1956,0,73
1956,0,74
1956,0,75
1956,0,76
1956,0,77
1956,0,78
1956,0,79
1956,0,80
1956,0,81
1956,0,82
1956,0,83
1956,0,84
1956,0,85
1956,0,86
1956,0,87
1956,0,88
1956,0,89
1956,0,90
1956,0,91
1956,0,92
1956,0,93
1956,0,94
1956,0,95
1956,0,96
1956,0,97
1956,0,98
1956,0,99
1792,3,0
1792,3,1
1792,3,2
1792,3,3
1792,3,4
1792,3,5
1792,3,6
1792,3,7
1792,3,8
1792,3,9
1792,3,10
1792,3,11
1792,3,12
1792,3,13
1792,3,14
1792,3,15
1792,3,16
1792,3,17
1792,3,18
1792,3,19
1792,3,20
1792,3,21
1792,3,22
1792,3,23
1792,3,24
1792,3,25
1792,3,26
1792,3,27
1792,3,28
1792,3,29
1792,3,30
1792,3,31
1792,3,32
1792,3,33
1792,3,34
1792,3,35
1792,3,36
1792,3,37
1792,3,38
1792,3,39
1792,3,40
1792,3,41
1792,3,42
1792,3,43
1792,3,44
1792,3,45
1792,3,46
1792,3,47
1792,3,48
1792,3,49
1792,3,50
1792,3,51
1792,3,52
1792,3,53
1792,3,54
1792,3,55
1792,3,56
1792,3,57
1792,3,58
1792,3,59
1792,3,60
1792,3,61
1792,3,62
1792,3,63
1792,3,64
1792,3,65
1792,3,66
1792,3,67
1792,3,68
1792,3,69
1792,3,70
1792,3,71
1792,3,72
1792,3,73
1792,3,74
1792,3,75
1792,3,76
1792,3,77
1792,3,78
1792,3,79
1792,3,80
1792,3,81
1792,3,82
1792,3,83
1792,3,84
1792,3,85
1792,3,86
1792,3,87
1792,3,88
1792,3,89
1792,3,90
1792,3,91
1792,3,92
1792,3,93
1792,3,94
1792,3,95
1792,3,96
1792,3,97
1792,3,98
1792,3,99
2007,29523,0
2007,166,1
2007,109,2
2007,85,3
2007,70,4
2007,60,5
2007,53,6
2007,47,7
2007,43,8
2007,39,9
2007,36,10
2007,33,11
2007,31,12
2007,28,13
2007,27,14
2007,25,15
2007,23,16
2007,22,17
2007,21,18
2007,20,19
2007,18,20
2007,17,21
2007,17,22
2007,16,23
2007,15,24
2007,14,25
2007,13,26
2007,13,27
2007,12,28
2007,12,29
2007,11,30
2007,10,31
2007,10,32
2007,10,33
2007,9,34
2007,9,35
2007,8,36
2007,8,37
2007,7,38
2007,7,39
2007,7,40
2007,6,41
2007,6,42
2007,6,43
2007,6,44
2007,5,45
2007,5,46
2007,5,47
2007,4,48
2007,4,49
2007,4,50
2007,4,51
2007,4,52
2007,3,53
2007,3,54
2007,3,55
2007,3,56
2007,3,57
2007,3,58
2007,2,59
2007,2,60
2007,2,61
2007,2,62
2007,2,63
2007,2,64
2007,2,65
2007,1,66
2007,1,67
2007,1,68
2007,1,69
2007,1,70
2007,1,71
2007,1,72
2007,1,73
2007,1,74
2007,0,75
2007,0,76
2007,0,77
2007,0,78
2007,0,79
2007,0,80
2007,0,81
2007,0,82
2007,0,83
2007,0,84
2007,0,85
2007,0,86
2007,0,87
2007,0,88
2007,0,89
2007,0,90
2007,0,91
2007,0,92
2007,0,93
2007,0,94
2007,0,95
2007,0,96
2007,0,97
2007,0,98
2007,0,99
1793,1,0
1793,1,1
1793,1,2
1793,1,3
1793,1,4
1793,1,5
1793,1,6
1793,1,7
1793,1,8
1793,1,9
1793,1,10
1793,1,11
1793,1,12
1793,1,13
1793,1,14
1793,1,15
1793,1,16
1793,1,17
1793,1,18
1793,1,19
1793,1,20
1793,1,21
1793,1,22
1793,1,23
1793,1,24
1793,1,25
1793,1,26
1793,1,27
1793,1,28
1793,1,29
1793,1,30
1793,1,31
1793,1,32
1793,1,33
1793,1,34
1793,1,35
1793,1,36
1793,1,37
1793,1,38
1793,1,39
1793,1,40
1793,1,41
1793,1,42
1793,1,43
1793,1,44
1793,1,45
1793,1,46
1793,1,47
1793,1,48
1793,1,49
1793,1,50
1793,1,51
1793,1,52
1793,1,53
1793,1,54
1793,1,55
1793,1,56
1793,1,57
1793,1,58
1793,1,59
1793,1,60
1793,1,61
1793,1,62
1793,1,63
1793,1,64
1793,1,65
1793,1,66
1793,1,67
1793,1,68
1793,1,69
1793,1,70
1793,1,71
1793,1,72
1793,1,73
1793,1,74
1793,1,75
1793,1,76
1793,1,77
1793,1,78
1793,1,79
1793,1,80
1793,1,81
1793,1,82
1793,1,83
1793,1,84
1793,1,85
1793,1,86
1793,1,87
1793,1,88
1793,1,89
1793,1,90
1793,1,91
1793,1,92
1793,1,93
1793,1,94
1793,1,95
1793,1,96
1793,1,97
1793,1,98
1793,1,99
1992,10812,0
1992,86,1
1992,55,2
1992,41,3
1992,34,4
1992,28,5
1992,24,6
1992,21,7
1992,19,8
1992,17,9
1992,16,10
1992,14,11
1992,13,12
1992,12,13
1992,11,14
1992,10,15
1992,9,16
1992,9,17
1992,8,18
1992,8,19
1992,7,20
1992,7,21
1992,6,22
1992,6,23
1992,6,24
1992,5,25
1992,5,26
1992,5,27
1992,4,28
1992,4,29
1992,4,30
1992,4,31
1992,4,32
1992,3,33
1992,3,34
1992,3,35
1992,3,36
1992,3,37
1992,2,38
1992,2,39
1992,2,40
1992,2,41
1992,2,42
1992,2,43
1992,2,44
1992,2,45
1992,1,46
1992,1,47
1992,1,48
1992,1,49
1992,1,50
1992,1,51
1992,1,52
1992,1,53
1992,1,54
1992,1,55
1992,1,56
1992,1,57
1992,1,58
1992,0,59
1992,0,60
1992,0,61
1992,0,62
1992,0,63
1992,0,64
1992,0,65
1992,0,66
1992,0,67
1992,0,68
1992,0,69
1992,0,70
1992,0,71
1992,0,72
1992,0,73
1992,0,74
1992,0,75
1992,0,76
1992,0,77
1992,0,78
1992,0,79
1992,0,80
1992,0,81
1992,0,82
1992,0,83
1992,0,84
1992,0,85
1992,0,86
1992,0,87
1992,0,88
1992,0,89
1992,0,90
1992,0,91
1992,0,92
1992,0,93
1992,0,94
1992,0,95
1992,0,96
1992,0,97
1992,0,98
1992,0,99
2024,175,0
2024,1,1
2024,1,2
2024,1,3
2024,1,4
2024,1,5
2024,1,6
2024,0,7
2024,0,8
2024,0,9
2024,0,10
2024,0,11
2024,0,12
2024,0,13
2024,0,14
2024,0,15
2024,0,16
2024,0,17
2024,0,18
2024,0,19
2024,0,20
2024,0,21
2024,0,22
2024,0,23
2024,0,24
2024,0,25
2024,0,26
2024,0,27
2024,0,28
2024,0,29
2024,0,30
2024,0,31
2024,0,32
2024,0,33
2024,0,34
2024,0,35
2024,0,36
2024,0,37
2024,0,38
2024,0,39
2024,0,40
2024,0,41
2024,0,42
2024,0,43
2024,0,44
2024,0,45
2024,0,46
2024,0,47
2024,0,48
2024,0,49
2024,0,50
2024,0,51
2024,0,52
2024,0,53
2024,0,54
2024,0,55
2024,0,56
2024,0,57
2024,0,58
2024,0,59
2024,0,60
2024,0,61
2024,0,62
2024,0,63
2024,0,64
2024,0,65
2024,0,66
2024,0,67
2024,0,68
2024,0,69
2024,0,70
2024,0,71
2024,0,72
2024,0,73
2024,0,74
2024,0,75
2024,0,76
2024,0,77
2024,0,78
2024,0,79
2024,0,80
2024,0,81
2024,0,82
2024,0,83
2024,0,84
2024,0,85
2024,0,86
2024,0,87
2024,0,88
2024,0,89
2024,0,90
2024,0,91
2024,0,92
2024,0,93
2024,0,94
2024,0,95
